"metric","variable","9M_edf","9M_p_value","9M_sig_level","14M_edf","14M_p_value","14M_sig_level","37M_edf","37M_p_value","37M_sig_level"
"dolphin_activity","TFSD",0.978229168497429,0,"***",2.01356341967547e-05,0.892459292119704,"",0.945507056831641,0.128398468052678,""
"dolphin_activity","VARf",4.41509544158843e-05,0.858799147910161,"",2.02365482986728e-05,0.875287823870731,"",8.81909975330268e-05,0.684218260500412,""
"dolphin_activity","VARt",2.96932374244351e-05,0.966707851040106,"",2.54169227407005e-05,0.686961184654815,"",0.000146171858126744,0.400864451334567,""
"dolphin_activity","ZCR",3.60690239883168e-05,0.710937186752307,"",0.636824043745297,0.0879308750483243,".",1.07087006537309,0.0655550577377346,"."
"dolphin_activity","aROI",0.951765855038489,1.82177859719967e-06,"***",0.851984196809012,0.00772327292465058,"**",8.83593343884087e-05,0.528401565764263,""
"dolphin_activity","nROI",0.326487103904803,0.209209421674483,"",1.50463409911525e-05,0.371705948126908,"",0.699175056639397,0.0611845647366553,"."
"dolphin_activity","rBA",5.10874000293307e-05,0.677389040829015,"",2.46988142474497e-05,0.268324739900563,"",0.422047075223875,0.00964745133616596,"**"
"dolphin_burst_pulse","ACI",2.89659890075933e-05,0.469764528177507,"",0.683286862044361,0.066259283830964,".",0.893141781336302,0.00162258938052018,"**"
"dolphin_burst_pulse","ACTspCount",8.91032481724942e-05,0.0162093634304292,"*",0.97466800509951,0,"***",2.0133632999018e-05,0.758906800029395,""
"dolphin_burst_pulse","ACTspFract",0.910595481705411,0.000521003776501994,"***",1.02427667710199e-05,0.336309395260338,"",2.19011307354982e-05,0.774626557161757,""
"dolphin_burst_pulse","ACTspMean",1.53799972841355e-05,0.737635468269367,"",3.62925943442875e-06,0.99962725172314,"",2.20894601814824e-05,0.909040687166284,""
"dolphin_burst_pulse","ACTtCount",1.8902582433476e-05,0.906009117514683,"",0.783030310799187,0.0269740102024552,"*",2.93094638438208e-05,0.485839199883887,""
"dolphin_burst_pulse","ACTtFraction",1.9386247533101e-05,0.907671247159258,"",3.83954465247782e-05,0.0411888425227803,"*",2.85532781500977e-05,0.501854254271568,""
"dolphin_burst_pulse","ACTtMean",1.46228593888271e-05,0.924502717692687,"",7.86110718671292e-06,0.898562189466522,"",2.05826457687678e-05,0.948365138055066,""
"dolphin_burst_pulse","ADI",2.11123646429761e-05,0.502818641119002,"",7.48162771885033e-06,0.603543798628972,"",2.06177274351247e-05,0.629882643152364,""
"dolphin_burst_pulse","AEI",0.957596453587971,9.98290181630779e-07,"***",0.950482177125376,3.10564636230026e-06,"***",4.65741681214937e-05,0.551397023081619,""
"dolphin_burst_pulse","AGI",3.76192013862554e-05,0.440562785735884,"",4.78617676182171e-06,0.896539979387284,"",2.65863640779708e-05,0.480038762785964,""
"dolphin_burst_pulse","AnthroEnergy",1.19502868312651e-05,0.886433071715076,"",6.95560695895193e-06,0.960241936771256,"",2.80650429024777e-05,0.470300700257719,""
"dolphin_burst_pulse","BGNf",0.87661387940676,0.00367141060417242,"**",6.50126992085914e-06,0.994121289170194,"",4.72709591270778e-05,0.376765694869103,""
"dolphin_burst_pulse","BGNt",9.31365590599899e-06,0.967706486754138,"",6.68522217834982e-06,0.619512640976884,"",0.000169761135073075,0.319242774866323,""
"dolphin_burst_pulse","BI",0.856774085538001,0.00726289058173957,"**",5.38086917117366e-06,0.436215371128704,"",0.86334996656929,0.00598699980643358,"**"
"dolphin_burst_pulse","BioEnergy",3.07765150188933e-05,0.461667070044662,"",8.47131967842276e-06,0.771144253192934,"",2.52381908163764e-05,0.452243741071543,""
"dolphin_burst_pulse","EAS",0.825159859069104,0.0113598411643321,"*",0.526429518286432,0.102722491663367,"",0.952875727520341,6.25428471345835e-07,"***"
"dolphin_burst_pulse","ECU",1.60784143711836,0.00529236708623715,"**",0.550659974488737,0.0932278917449741,".",1.08017715463534,0.0425297663301819,"*"
"dolphin_burst_pulse","ECV",1.38303544775586e-05,0.950550040065246,"",8.38905025579195e-06,0.88388431905161,"",2.00979996725626e-05,0.755543551990722,""
"dolphin_burst_pulse","ENRf",1.62035793640206e-05,0.915696132260505,"",6.80381883390839e-06,0.880967387817271,"",0.381501734081146,0.0246621695842187,"*"
"dolphin_burst_pulse","EPS",1.24528730960685e-05,0.864819327759817,"",0.700209217498353,0.0612791869048729,".",0.391790151607156,0.188802193005576,""
"dolphin_burst_pulse","EPS_KURT",1.28403159791468e-05,0.842766774591642,"",8.46135521486069e-06,0.233336049189782,"",2.41732867413626e-05,0.701828248865021,""
"dolphin_burst_pulse","EPS_SKEW",1.04480451861465e-05,0.78629434104292,"",0.759078378186749,0.0335152411392479,"*",2.48764948616091e-05,0.718727929953149,""
"dolphin_burst_pulse","EVNspCount",1.96681093312294e-05,0.677974052221653,"",0.962335609516683,3.00445205936306e-07,"***",0.850333094184746,0.00834217628905809,"**"
